(forest ) plant sociology	森林植物社會學
Strophidon ui Tanaka	竹鯙
Structural design	結構設計
Structure	結構
Stuffer	充填機
Stunning	致昏
Stylo	泰樂豆
Stylodactylidae	棒指蝦科
Stylodactylus multidentatus Kubo	棒指蝦
Subacute poisoning	亞急性中毒
Subcommittee on Customs Procedures ; SCCP	關務程序次級委員會
Subcommittee on Standards and Conformances ; SCSC	標準認證次級委員會
Subcommittees ; SC	次級委員會
Sublethal effect	次致死效應
Submarine culture	海底養殖
Submarine geomorphy	海底地貌
Submerged Dams	潛埧
Submerged plant	沉水植物
Subordinates	從屬份子
Subpopulation	亞族群
Subregional Trading Arrangements ; SRTA	次區域貿易協訂
Subsample	次樣品
Subsidies and Countervailing Measures	補貼與平衡稅措施
Subsidize Interest	補貼利息
Subspecies	亞種
Substitute Staff	職務代理人
Substrate	附著基
Substratum	附著基
Subtidal area	潮間帶
Subtidal zone	潮間帶
Subtropical zone	亞熱帶
Suburban fish culture	城郊養魚
Sucrase	蔗糖敫
Sucrose	蔗糖
Sudan grass	蘇丹草
Suet	牛脂
Suffocation	窒息
Sugar	沙糖
Sugar	糖類
Sugar moiety	醣側鍵
Sugarbeet soluble	甜菜可溶物
Sugarcane bacilliform badnavirus	甘蔗桿狀病毒
Sugarcane bagasses	蔗渣
Sugarcane fish pond	蔗基魚搪
Sugarcane streak monogeminivirus	甘蔗條斑病
Suggrundus meerdervoortii (Bleeker)	大眼牛尾魚
Suggrundus rodericensis (Cuvier & Valenciennes)	大棘牛尾魚
Sulfur	硫
Sulphate	硫酸鹽
Sulphur	硫
Summer	夏季
Summer fingerling	夏花
Summer seedling	夏苗
Suncure alfalfa	日晒苜蓿
Suncure chopped alfalfa	日晒剁碎苜蓿
Sunflower meal	向日葵粕
Sunflower meal, dehull	脫殼向日葵粕
Sunflower shell	向日葵殼
Sunglo National Trail	松羅國家步道
Suogang	鎖港
Supercharging	增壓
Supervision	督導
Supervisor	區長
Supplement	補充料
Supplemental Point Marking	刺點
Supply vessel	捕給船
Supply-demand relation	供需關係
Surburn disease	日照病
Surface Runoffs	地表逕流
Surface fishery	表層漁業
Surface midwater trawl	表中層拖網
Surface water	表層水
Surfacing	浮頭
Surfactant	表面活性劑
Surfractant	界面活性劑
Surimi	魚謎
Surimi elasticity	魚糜制品彈性
Surimi plant	魚糜加工機械
Surimi product	魚糜制品
Surplus Purchase	餘糧收購
Surra (Trypanosoma evanis)	蘇拉病
Surra (Trypanosoma evansi)	蘇拉病
Surrounding gillnet	圍刺網
Surveillance	殘留量監測
Survey	調查
Survey Section	測量課
Survey and Analysis Section	調查分析科
Survival rate	殘存率
Survival science	生存科學
Suspended matter	懸浮質
Suspension concentrate (SC)	水懸劑
Suspension of powers	停止職權
Sustainable management	永續經營
Swamp eel (Giant mottled eel)	鱸鰻(花鰻、烏耳鰻、紅土龍、溪滑)
Swedish tumip (英) ; Rutabaga(美)	瑞典蕪菁
Sweet Lupine	甜魯冰豆
Sweet cassava	甜味樹薯
Sweet corn	甜玉米
Sweet fish	香魚
Sweet fish fry	香魚苗
Sweet fish(Ayu)	香魚
Sweet potato	地瓜
Sweet potato	甘藷 ; 蕃薯
Sweet potato strach pulp	甘藷澱粉粕
Sweet whey	甜乳清
Swelled feed	膨化飼料
Swelling of belly	腹部腫脹
Swelling of gill sheets	鰓瓣腫脹
Swim bladder disease	鰾病
Swimming speed	泳速
Swine Auction Yard	種豬拍賣場
Swine Erysipelas	豬丹毒
Swine Vesicular Disease	豬水疱病
Swing net	張網
Swinhoe's Pheasant	藍腹鷴
Swinhoe’s grass water snake	斯文豪氏遊蛇(台灣遊蛇、台灣頸槽蛇)
Swining sickness	搖簪g
Swordfish	劍旗魚
Symbiosis	共生
Sympaestria truncatolobata	台灣擬騷蟴
Sympatric population	同地種群
Symphorus taeniolatus Gunther	狹帶項圈鯛
Symphurus novemfasciatus Shen	九帶鞋底魚
Symphurus orientalis (Bleeker)	東方鞋底魚
Symphurus strictus Gilbert	緊身鞋底魚
Symphysanodontidae	片山花鯛科
Symplectoteuthis oualaniensis	南魷
Symptom	病症
Synagrops japonicus (Steindachner & Doderlein)	日本尖齒鯛
Synagrops philippinensis (Gunther)	菲島尖齒鯛
Synanceia verrucosa (Bloch & Schneider)	玫塊毒
Synaphobranchidae	盲糯鰻科
Synaptura annularis (Fowler)	環紋鰨沙
Synaptura orientalis (Bloch & Schneider)	孃葉仔
Synbranchidae	合鰓科
Synchiropus altivelis (Temminck & Schlegel)	紅鼠銜魚
Synchiropus ijimai Jordan & Thompson	飯島氏鼠銜魚
Synchiropus lineolatus (Valenciennes)	條紋鼠銜魚
Synchiropus ocellatus (Pallas)	眼斑鼠銜魚
Synchiropus picturatus (Peters)	美麗鼠銜魚
Synchiropus splenkikus (Herre)	花斑鼠銜魚
Synchytrium endobioticum (Schilf) per.	馬鈴薯癌腫病
Synderina yamanokami Jordan & Starks	山魈絨
Syndicated loan	聯貸
Synechogobius hasta (Temminck & Schlegel)	長身鯊
Synecology	群體生態學
Synergist	協力劑
Syngnathidae	海龍科
Syngnathoides biaculeatus (Bloch)	棘海龍
Syngnathus	海龍
Syngnathus acus Linnaeus	弓形海龍
Syngnathus pelagicus Linnaeus	遠洋海龍
Syngnathus penicillus Cantor	銀黑海龍
Synodontidae	合齒科
Synodus binotatus Schultz	雙斑狗母
Synodus englemani Schultz	恩氏狗母
Synodus fuscus Tanaka	褐狗母
Synodus jaculum Russell & Cressey	裸頰狗母
Synodus macrops Tanaka	叉斑狗母
Synodus rubromarmoratus Russell & Cressey	紅斑狗母
Synodus variegatus (Lacepede)	花狗母
Synphorus spilurus Gunther	項圈鯛
Synthetic fibre	合成纖維
Synthetic fibre rope	合成纖維繩
Sysgnathidae	海龍科
System analysis	系統分析
System engineering	系統工程
Systematics	分類學
Systemic	系統性
Systemic Risk	系統性風險
Systems Integration Panel ; SIP	系統整合小組
Syueba Forest Reserve	雪霸自然保護區
Syueshankeng River Major Wildlife Habitat	雪山坑溪野生動物重要棲息環境
Syuhai	旭海
T-test	ｔ－檢驗
TBA value	TBA 值
TECHNICAL SERVICE SECTION	技術服務室
TID	熱離子偵測器
TRAFFIC International (Trade Records Analysis of Flora and Fauna in Commerce)	國際野生動植物貿易研究委員會
TRIPS	智慧財產權
TV Services of Digital Multi-channel Satellite Broadcasting ; TVDSB	數位多頻道衛星廣播電視服務業
Table salt	食鹽
Tactile organ	觸覺器官
Tactile sensation	觸覺
Taeniasis	絛蟲病
Taenioides anguillaris (Linnaeus)	盲絛魚
Taenioides cirratus (Blyth)	灰盲絛魚
Taeniura melanospilos Bleeker	黑點帶尾土魟
Taeniura meyeni Muller & Henle	梅英帶尾土魟
Tag	標識
Tag-stocking	標識放流
Tagging	標識
Taichung Branch, Bureau of Animal and Plant Health Inspection and Quarantine	動植物防疫檢疫局臺中分局
Taichung County Gaomei Major Wildlife Habitat	台中縣高美野生動物重要棲息環境
Taichung County Gaomei Wildlife Refuge	台中縣高美野生動物保護區
Taichung County Wuling Formosan Landlocked Salmon Major Habitat	台中縣武陵櫻花鉤吻鮭重要棲息環境
Taichung District Agricultural Research and Extension Station	臺中區農業改良場
Tail-rot	爛尾病
Tainan City Sihcao Wildlife Refuge	台南市四草野生動物保護區
Tainan County Zengwun Estuary Major Wildlife Habitat	台南縣曾文溪口野生動物重要棲息環境
Tainan County Zengwun Estuary North Bank Black-faced Spoonbill Refuge	台南縣曾文溪口北岸黑面琵鷺動物保護區
Tainan District Agricultural Research and Extension Station	臺南區農業改良場
Taipei City Jhonghsing and Yungfu Bridges Major Wildlife Habitat	台北市中興橋永福橋野生動物重要棲息環境
Taipei City Waterbird Refuge	台北市野雁保護區
Taipei Frog，Two-striped Grass Frog	台北赤蛙(神蛙、雷公蛙)
Taipei Green Tree Frog	台北樹蛙
Taipei Station	台北工作站
Taipei ground snake	金絲蛇(台北遊蛇、台北腹鏈蛇)
Taipingshan Station	太平山工作站
Taipingshan national forest recreation area	太平山國家森林遊樂區
Taisi	台西
Taitung Animal Propagation Station	臺東種畜繁殖場
Taitung Animal Propagation Station, Livestock Research Institute	畜產試驗所臺東種畜繁殖場
Taitung Branch, Tea Research and Extension Station	茶業改良場臺東分場
Taitung County Haiduan Township Sinwulyu River Fish Refuge	台東縣海端鄉新武呂溪魚類保護區
Taitung County Haiduan Township Sinwulyu River Major Wildlife Habitat	台東縣海端鄉新武呂溪野生動物重要棲息環境
Taitung District Agricultural Research and Extension Station	臺東區農業改良場
Taitung Forest District Office	臺東林區管理處
Taitung Forest District Office, Forestry Bureau	林務局臺東林區管理處
Taitung Hongye Village Taitung Cycas Nature Reserve	台東紅葉村台東蘇鐵自然保留區
Taiwan Accreditation Foundation ; TAF	財團法人全國認證基金會
Taiwan Agricultural Food Traceability System ; TAFT	台灣農業安全追溯系統
Taiwan Area Fishery Radio Station, Fisheries Agency	漁業署臺灣區漁業廣播電臺
Taiwan Beech National Trail	台灣山毛櫸國家步道
Taiwan Biological Resources Database Center	台灣生物資源資料庫中心
Taiwan Ecological Research Network ; TERN	台灣生態研究網
Taiwan Forestry Cultural Park	林業文化園區
Taiwan Formosa Organic Association ; FOA	台灣寶島有機農業發展協會
Taiwan Good Agricultural Practice ; TGAP	台灣良好農業規範
Taiwan Organic Production Association ; TOPA	台灣省有機農業生產協會
Taiwan Pleione Nature Reserve	台灣一葉蘭自然保留區
Taiwan Seed Improvement and Propagation Station	種苗改良繁殖場
Taiwan Tilapia Product Criteria	台灣鯛產品規範
Taiwan alpine skink、Taiwan forest skink	台灣蜓蜥
Taiwan beauty snake，Striped racer	錦蛇(黑眉錦蛇、黃長蟲)
Taiwan broiler	台灣肉雞
Taiwan coral snake (Striped red snake)	帶紋赤蛇(台灣麗紋蛇)
Taiwan firecrest	火冠戴菊鳥
Taiwan mauxia shrimp	赤尾青蝦
Taiwan native chicken	台灣土雞
Taiwan slug snake	台灣鈍頭蛇(脊高蛇)
Taiwanofungus camaphoratus	牛樟芝
Taizihcun	台子村
Takifugu chinesis (Abe)	黑鰭河魨
Takifugu niphobles (Jordan & Snyder)	星點河魨
Takifugu oblongus (Bloch)	橫紋河魨
Takifugu ocellatus ocellatus (Linnaeus)	眼斑河魨
Takifugu pardalis (Temminck & Schlegel)	偌釭e魨
Takifugu poecilonotus (Temminck & Schlegel)	網斑河魨
Takifugu rubripes (Temminck & Schlegel)	虎河魨
Takifugu vermicularis porphyreus (Temminck & Schle	雲斑蟲紋河魨
Takifugu xanthopterus (Temminck & Schlegel)	黃鰭河魨
Tallow	(牛、羊等之)油脂
Tamsui river mangrove nature reserve	淡水河紅樹林自然保留區
Tan-Sui river	淡水河
Tanakius kitaharae (Jordan & Starks)	田中鰈
Tank	水槽
Tank test	水槽試驗
Tanmen	潭門
Tanning	染網
Tanshui area	淡水區
Tanzih	潭子
Tapes japonica	日本綴錦蛤、蚶仔
Tapes platyptycha	大蛤
Tapes variegata	海瓜子
Taractes rubescens (Jordan & Evermann)	紅褐烏魴
Taractichyhys steindachneri (Doderlein)	大鱗烏魴
Target, biological	生物標的
Targeting	佈標
Tariff Rate Quota (TRQ)	關稅配額
Tariff Rate Quota ; TRQ	關稅配額 ; 關稅稅率配額
Taroko National Park	太魯閣國家公園
Tarphops oligolepis (Bleeker)	大鱗鰈
Tashan Major Wildlife Habitat	塔山野生動物重要棲息環境
Task Force on Food ; TFF	糧食任務小組
Tasman Sea	塔斯曼海
Taste organ	味覺器官
Taste sensation	味覺
Tasty Tuna Tidbit	鮪魚糖
Taura Syndrome	陶拉症
Tawny fish owl	黃魚鴞
Taxis	趨性
Taxonomy	分類學
Tea Research and Extension Station	茶業改良場
Tea and Living Fair	茶與生活特展
Technical Assistance Section	輔導科
Technical Barriers for Trade,TBT	貿易技術障礙
Technical Barriers for Trade，TBT	貿易技術障礙
Technical Barriers to Trade ; TBT	貿易技術障礙
Technical Committee ; TC	技術委員會
Technical Committee on Customs Valuation ; TCCV	關稅估價技術委員會
Technical Management Board ; TMB	技術管理局
Technical Service    Division	技術服務組
Technical Service Building	技術服務館
Technical Service Division,……	技術服務組
Technical Specialist	薦任技正
Technical Superintendent	技監(具工程專業技術)
Technical Worker	技工
Technical assistance	技術協助
Technical innovation	技術革新
Technical material	工業級原體
Technical measure	技術措施
Technical popularization	技術推廣
Technical resonstruction	技術改造
Technically justified	技術合理化
Technician	技士
Technique import	技術引進
Technological condition	工藝條件
Technological economy	技術經濟
Technology	技術
Technology transfer	技術移轉
Tegillaria granosa	血蚶
Teixeirichthys formosana (Fowler & Bean)	臺灣雀鯛
Teixeirichthys jordani (Rutter)	喬丹氏雀鯛
Teleogryllus sp.	眉紋蟋蟀
Teleost	硬骨魚類
Temperate Forest	溫帶林
Temperate zone	溫帶
Temperature	溫度
Temperature adaptation	溫度適應
Temperature preference	溫度選擇
Temperature sensor	溫度感應器
Temperature shock	溫度刺激
Temperature tolerance	耐熱性
Temporal distribution	時間分佈
Temporal gradient	時間梯度
Temporary Pass	臨時通行證
Temporary Worker	臨時人員
Tender Documents	標單
Tenderloin	小里肌(腰內肉)
Tension	張力
Tentacle	觸手
Tentoriceps cristus (Klunzinger)	隆頭帶魚
Teosinte	大芻草
Tephrinectes sinensis (Lacepede)	花圓鰈
Terapon cancellatus (Cuvier & Valenciennes)	橫紋雞魚
Terapon jarbua (Forsskal)	花身雞魚
Teraponidae	條紋雞魚科
Teratoma	畸胎瘤
Teredo	船蛆
Terestrial ecology	陸地生態學
Term loan	定期攤還貸款
Term of trust	信託存續期間
Terminal Elevator	終點穀倉
Termination of Deposit Insurance	終止要保
Terminology	術語
Terrain	地形
Terrestrial Animal Health Code (OIE code)	陸生動物衛生法典
Territorial sea	領海
Territoriality	地盤性
Teschovirus	鐵士古病毒
Test fishing	試捕
Test guideline	測試標準
Test portion (analytical portion)	供試分樣
Test run	試航
Test sample (analytical sample)	供試樣品
Test substance	供試物質
Test system	供試系統
Testis	精巢
Tetrahymena infection	四膜纖毛蟲症
Tetraodon alboreticulatus Tanaka	白網紋河魨
Tetraodon hispidus (Linnaeus)	腹紋白點河魨
Tetraodon immaculatus Bloch & Schneider	線紋河魨
Tetraodon mappa (Lesson)	白點河魨
Tetraodon nigropunctatus (Bloch & Schneider)	黑斑河魨
Tetraodon reticularis Bloch & Schneider	網紋河鰔
Tetraodon stellatus Tanaka	模樣河魨
Tetraodontidae	四齒魨科
Tetraotoxin	河魨毒素
Tetrapterus angustirostris Tanaka	小旗魚
Tetrapterus audax (Philippe)	紅肉旗魚
Tetraselmis chuii	扁藻
Tetrodotoxin toxicity	河魨毒素
Texture	質地
Thailand	泰國
Thailand Trade and Economic Office ; TTEC	泰國貿易經濟辦事處
Thalamita prymna	短尾類
Thalarsosteus appendiculatus (Klunzinger)	垂吻鶴鱵
Thalassoma amblycephalus (Bleeker)	鈍頭葉鯛
Thalassoma cupido (Temminck & Schlegel)	花面葉鯛
Thalassoma fuscum (Lacepede)	綠斑葉鯛
Thalassoma hardwicke (Bennett)	哈氏葉鯛
Thalassoma jansenii (Bleeker)	詹森氏葉鯛
Thalassoma lunare (Linnaeus)	月斑葉鯛
Thalassoma lutescens (Lay & Bennett)	黃衣葉鯛
Thalassoma purpureum (Forsskal)	紫衣葉鯛
Thalassoma quinquevittatus (Lay & Bennett)	五帶葉鯛
Thalassoma umbrostigma (Ruppell)	影斑葉鯛
Thallus	葉狀體
Thawing	解凍
The Agricultural Bank of Taiwan	全國農業金庫
The Agricultural Bank of Taiwan ; ABT	全國農業金庫
The Asia and Pacific Seed Association ; APSA	亞太種子協會
The Central Deposit Insurance corporation (CDIC)	中央存款保險股份有限公司
The Forestry Knowledge Portal Website	林業知識入口網站
The Herbarium of Taiwan forestry Research Insffate ; TAIF	林業試驗所植物標本館
The International Seed Testing Association	國際種子檢查協會
The International Union for the Protection of New Varieties of Plants ; UPOV	植物新品種保護國際聯盟
The Plant Variety and Plant Seed Act	植物品種及種苗法
The Policy-Oriented Special Agricultural Loan	政策性農業專案貸款
The World Conservation Union (原International Union for Conservation of Nature and Natural Resources ; IUCN)	世界保育聯盟
The online system for agricultural finance institutions to declare operational information	網際網路申報系統
The plant seed enterprise registration certificate	種苗業登記證
Theileriosis	泰勒原蟲病
Thelenota	梅花參
Thelonota ananas	梅花參
Thenus orientalis	東方扁蝦
Theodolite Surveying	經緯儀測量
Theoretical analysis	理論分析
Theoretical maximum daily intake (TMDI)	最高每日容許攝取理論值
Theory	理論
Theragra chalcogramma	狹雪
Therapon theraps (Cuvier & Valenciennes)	條紋雞魚
Thermal effluent	溫排水
Thermal effluent pollution	溫排水污染
Thermal flowing water	溫流水
Thermal pollution	熱污染
Thermal spring water	溫泉水
Thermocline	躍溫層
Thermodynamics	熱力學
Thermometer	溫度計
Thermophilic microorganism	嗜熱微生物
Thermoreceptor	溫度感受器
Thermoregulation	體溫調節
Thick-shell shrimp	厚殼蝦
Thicket flycatcher	黃胸青鶲（棕胸藍姬鶲）
Thickness	粗度
Thin Layer Chromatography ; TLC	薄層分析
Thinness	瘦弱
Third Engineering Office, Soil and Water Conservation Bureau	水土保持局第三工程所
Third Section	第三科
Threadfin(Sixfinger threadfin)	午仔魚
Three powers of innovation, energy and charm	三力
Three vital functions of agriculture	三生農業
Threonine	羥丁胺酸
Threshold	臨界量
Thrissina baelama (Forsskal)	平胸劍鰶
Thrissocles dussumieri (Cuvier & Valenciennes)	杜氏劍鰶
Thrissocles hamiltonii (Gray)	哈氏劍鰶
Thrissocles kammalensis (Bleeker)	干麥爾劍鰶
Thrissocles mystax (Bloch & Schneider)	鬚劍鰶
Thrissocles setirostris (Broussonet)	髭吻劍鰶
Throat tumours	喉部腫瘤
Thrombois	血栓症
Throscoryssa citri Maulik	黑胸柑桔金花蟲
Thunnus alalunga (Bonnaterre)	長鰭鮪
Thunnus albacares (Bonnaterre)	黃鰭鮪
Thunnus obesus (Lowe)	短鮪、大目鮪
Thunnus thynnus (Linnaeus)	黑鮪
Thunnus tonggol (Bleeker)	長腰鮪
Thymus gland	胸腺
Thyroprotein	碘化蛋白
Thyrsoidea macrurus (Bleeker)	長尾鯙
Tianfu	天福
Tickets office	收費站
Tidal current	潮流
Tidal estuary	河口潮區
Tidal level	潮位
Tidal risk Prevention Forest	潮害防備保安林
Tide	潮汐
Tiesian	鐵線
Tiger fish fry	花身雞魚苗
Tiger prawn	斑節蝦
Tightness	鬆緊度
Tigriopus japonicus	劍水蚤
Tilapia	吳郭魚
Tilapia fry	吳郭魚苗
Tilapia hybrid	雜交吳郭魚
Tilapia rendalii	黑邊吳郭魚
Tilapia zillii	吉利吳郭魚
Tilapia（Mossambica）	吳郭魚
Tile fish(Red tilefish)	馬頭
Timber management area	林木經營區
Tip cutting	切尖
Tissue	組織
Tissue extracct	組織抽出物
Tnchypleus tridentatus	鱟
Tobaco waste	菸渣
Tocopherol	生殖醇
Tocopheryl acetate	生殖醇乙酸酯
Togavirus	披衣病屬
Tolerable daily intake	每日容許攝取量
Tolerance	忍受度
Tolerance, residue	殘留容許量
Tomato pomace	蕃茄渣 ; 蕃茄醬粕
Tomistoma schegeli	鱷
Tongliang	通樑
Tongpan	桶盤
Tongpanku	桶盤堀
Tongsiao	通霄
Tongue	舌
Tooth	牙齒
Top ten hotspots of agri-tourism	十大經典休閒農場
Top ten marketable agricultural products	十大經典農產品
Top ten outstanding farms	十大經典農民
Topography	地形
Torch Light Net	火誘網
Torch Light Net for Saury	秋刀魚火誘網
Torch light fishing	燈火捕魚
Torpediniformes	電 目
Torpedo	魚雷型接頭
Torpedo scad	扁甲鰺
Torula yeast	串菌屬酵母
Tosana niwai (Smith & Pope)	姬花鱸
Total Quality Management ; TQM	全面品管
Total Station	全測站儀
Total Value	價值總計
Total allowable catch	總野i漁獲量
Total diet study	完全食譜研究
Total revenue	總收入
Tottering	滿?
Toughness	韌性
Tourism	生態旅遊
Tow Conveyor	地軌式輸送機
Towing power	拖力
Towing speed	拖速
Towing warp	曳網
Towing warp tensiometer	曳網張力儀
Toxic effect	毒性效應
Toxicant	毒物
Toxicity	毒性
Toxicity test	毒性試驗
Toxicology	毒理學
Toxicopathy	中毒性疾病
Toxification	生物活化作用
Toxin	毒素
Toxin composition	毒性成分
Toxocara infection	牛蛔蟲感染症
Toxoplasmosis	貓弓蟲病
Trace element	微量元素
Trace metal pollution	微量元素污染
Traceability of agricultural products	生產履歷
Trachichthyidae	燧鯛科
Trachidermus fasciatus Heckel	松江鱸魚
Trachinocephalus myops (Bloch & Schneider)	短吻花狗桿魚
Trachipteridae	粗鰭魚科
Trachipterus ijimai Jordan & Snyder	飯島氏粗鰭魚
Trachipterus iris (Walbaum)	眼斑粗鰭魚
Trachipterus ishikawai Jordan & Snyder	石川氏粗鰭魚
Trachyrhamphus longirostris Kaup	長吻海龍
Trachyrhamphus serratus (Temminck & Schlegel)	鋸吻海龍
Trachyzuppha formosana	蓬萊棘螽蟴
Tracing	追蹤
Trade	貿易
Trade Development Board ; TDB	貿易發展局
Trade Policy Dialogue ; TPD	貿易政策對話
Trade Promotion Organizations ; TPOs	貿易推廣組織
Trade and Development	貿易與發展
Trade and Investment Data ; TID	貿易與投資資料
Trade and Investment Data Database ; TIDDB	貿易及投資資料庫
Trade and Investment Data Review	貿易暨投資資料審訂
Trade and Investment Liberalization and Facilitation ; TILF	貿易暨投資自由化、便捷化
Trade in Services	服務貿易
Traditional fishery	傳統漁業
Training Room	訓練教室
Trammel net	三重刺網
Transaction Terminal	交易用終端機
Transfer	移轉
Transferase	轉移梅
Transform	改造
Transformation product	轉化產物
Transit	過境
Translocation	移行
Transmissible Gastroenteritis	豬傳染性胃腸炎
Transmitter	發射機
Transparency	透明度
Transpiration	蒸發
Transplantation	移植
Transport machinery	運輸機械
Transportation	運輸
Transportation Cart	搬運台車
Transportation vessel	運輸船
Transverse Mercator Projection	橫麥卡托投影
Trash fish	下雜魚
Trash rack	攔污柵
Traverse adjustments	導線測量平差計算
Traverse stations	導線點
Traverse surveys	導線測量
Trawl fishery	拖網漁業
Trawl fishing ground	拖網漁場
Trawl ground	拖網漁場
Trawl net	拖網
Trawl net fishery	拖網漁業
Trawler	拖網漁船
Trawling	拖網捕撈
Trawling efficiency	拖網效率
Trawling gears	拖網漁具
Trawling ground	拖網漁場
Trawling-seining combination	拖圍兼作
Trawling-seining vessel	拖圍兼作漁船
Treasury bond	長期國庫券
Treasury note	中期國庫券
Treated solution	處理溶液
Treaty	條約
Trematoda	吸蟲
Trench	海溝
Triacanthidae	三棘魨科
Triacanthodes anomalus (Temminck & Schlegel)	擬三棘魨
Triacanthodes eithiops Alcock	東非擬三棘魨
Triacanthodidae	擬三棘魨科
Triacanthus biaculeayus (Bloch)	突吻三棘魨
Triacanthus blochi Bleeker	勃氏三棘魨
Triacanthus brevirostris Temminck & Schlegel	短吻三棘魨
Triaenodon obesus (Ruppell)	鱟鮫
Triaenopogon babatus (Gunther)	鍾馗鯊
Triakidae	平滑鮫科
Triakis scyllia Muller & Henle	三峰齒鮫
Triangulation	三角測量
Trichinellosis	豬旋毛蟲病
Trichiuridae	帶魚科
Trichiurus haumela	帶魚
Trichiurus japonicus Temminck & Schlegel	瘦帶魚
Trichiurus lepturs Linnaeus	肥帶魚
Trichodinasis	車輪蟲病
Trichodiniais	車輪蟲症
Trichomonas	毛滴蟲屬
Trichomoniasis	毛滴蟲病
Tridacna	車渠
Trigger value	制動值
Triglidae	角魚科
Trigpoint，Triangulation point	三角點
Trimethylamine	三甲氨
Trimma caudomaculata Yoshino & Araga	尾斑塘鱧
Trimma naudei Smith	紅塘鱧
Trimmings	切修碎肉
Triodon bursarius Reinwardt	三齒魨
Triodontidae	三齒魨科
Trionys sinensis	甲魚、中國鱉
Trionyx	鱉
Trionyx sinensis	中國鱉、甲魚
Triploidy	三倍體
Tripneustes gratilla (Linnaeus)	海膽
Tripod	三腳架
Triso dermopterus (Temminck & Schlegel)	鳶鱠
Triticale	黑小麥
Trochelminthes	擔輪動物
Trochophora	擔輪幼蟲
Trochus	鳳螺
Troll Line	曳繩釣
Trolling line	曳繩釣
Trophic level	營養層次
Tropical Forest	熱帶林
Tropical cyclone	熱帶氣旋
Tropical depress	熱帶低壓
Tropical kudzu	熱帶葛藤
Tropical storm	熱帶風暴
Tropical zone	熱帶
Tropism	向性
Trout	鱒魚
Trout fry	鱒魚苗
Trout(Rainbow trout)	鱒魚
Trust	信託
Trust affairs	信託事務
Trust deed/contract	信託契約
Trust enterprise/trust company	信託業
Trust of money/pecuniary trust	金錢之信託
Trust of real estate/real estate trust	不動產之信託
Trust property	信託財產
Trust registration	信託登記
Trust supervisor	信託監察人
Trustee	受託人
Trypanosomatosis	錐蟲病
Trypanosomosis	錐蟲病
Trypanosomosis in cattle and buffalo	錐蟲症
Trypauchen vagina (Bloch & Schneider)	赤鯊
Trypauchenidae	赤鯊科
Trypsin	胰蛋白敫
Trypsin inhibitor	抗胰蛋白敫
Tryptophan	色胺酸
Tse-Xin Organic Agricultural Foundation ; TOAF	財團法人慈心有機農業發展基金會
Tube ice machine	管冰機
Tubercles	結節
Tuberculosis	布氏桿菌病
Tularaemia	土拉倫斯菌病
Tularemia	土拉倫斯病
Tumbling	翻觔斗
Tumbling disease	迴旋病
Tumor	腫瘤
Tumours	腫瘤
Tuna	鮪魚
Tuna Long Line	鮪延繩釣
Tuna feed fat	鮪魚魚油
Tuna fish larva	鮪魚仔魚
Tuna fisheries	鮪漁業
Tuna fisheries management	鮪漁業管理
Tuna fishery resources	鮪漁業資源
Tuna fishing ground	鮪漁場
Tuna flesh	鮪魚肉
Tuna longline	鮪延繩釣
Tuna longline fishery	鮪延繩調漁業
Tuna longlining	鮪延繩釣
Tuna oil	鮪魚油
Tuna purse seine	鮪圍網
Tuna resources	鮪魚資源
Tunas	鮪
Tung meal	桐實油
Tungshih Forest District Office, Forestry Bureau	林務局東勢林區管理處
Tunnel freezer	隧道式凍結莊置
Tunnel test	風洞試驗
Turbellaria	渦蟲
Turbellarian infection	渦蟲類感染症
Tursiops truncatus (Montagu	瓶鼻海豚
Turtle culture	鱉養殖
Turtle-designed snake (Pointed-scaled pitviper)	龜殼花(烙鐵頭)
Twist	捻度
Twist shrinkage	捻縮
Two row barley	二稜大麥
Tydemania navigatoris Weber	厚唇三棘魨
Tylosurus annulata (Cuvier & Valenciennes)	大鶴鱵
Tylosurus crocodila (Le Sueur)	鱷形鶴鱵
Tylosurus incisus (Cuvier & Valenciennes)	大鱗圓尾鶴鱵
Tylosurus leiurus (Bleeker)	臺灣圓尾鶴鱵
Tylosurus melanotus (Bleeker)	叉尾鶴鱵
Tylosurus strongylurus (Van Hasselt)	圓尾鶴鱵
Typhoon	颱風
Tyrosine	酪胺酸
U.N. Economic and Social Council ; UNECOSOC	聯合國經濟暨社會理事會
UVD	紫外光吸收偵測
Ultra low volume (ULV) spray	超低容量施藥
Ultrasonic	超聲波
Ultrasonic thawing	超聲波解凍
Ultrasonic wave	超聲波
Ultrastructural study	超微結構研究
Ultrastructure	超微結構
Ultraviolet ray	紫外線
Ulva	石純
Unaspis yanonensis (Kuwana)	箭頭介殼蟲
Unauthorized cultivation	濫墾
Undaria pinnatifida	裙帶菜
Understanding on Commitments in Financial Services ; UCFS	金融服務業承諾協議
Underwater acoustics	水聲學
Underwater biology	水中生物學
Underwater cable	水下電纜
Underwater television	水下電視
Underwriter	承銷機構
Uniform supervision in agricultural finance	農業金融監理一元化
Unionadea disease	蚌病
Unionidea	蚌科
United Nation Security Council ; UNSC	聯合國安全理事會
United Nations ; UN	聯合國
United Nations Commission on International Trade Law ; UNCITRAL	聯合國國際貿易法委員會
United Nations Commission on International Trade Law Arbitration Rules ; UNCITRAL Arbitration Rules	聯合國國際貿易法委員會仲裁規則
